Title
NIPS-Neural-Information-Processing-Systems-NIPS
CVPR  IEEE Conference on Computer Vision and Pattern Recognition
INTERSPEECH  Conference of the International Speech Communication Association (INTERSPEECH)
ECCV  European Conference on Computer Vision
SIGKDD  ACM SIGKDD International Conference on Knowledge discovery and data mining
ACL Meeting of the Association for Computational Linguistics
SIGMOD International Conference on Management of Data
ICDE  International Conference on Data Engineering Workshops
CIKM  ACM International Conference on Information and Knowledge Management
IJCAI  International Joint Conference on Artificial Intelligence
ICDM  IEEE International Conference on Data Mining
COLING  International Conference on Computational Linguistics
SDM  SIAM International Conference on Data Mining
RecSys  ACM Conference on Recommender Systems
LAK  International Conference on Learning Analytics And Knowledge
EACL  Conference of the European Chapter of the Association for Computational Linguistics
AAAI Conference on Artificial Intelligence
IPSN  International Symposium on Information Processing in Sensor Networks
AIME  Artificial Intelligence in Medicine
FUSION  International Conference on Information Fusion
IUI  International Conference on Intelligent User Interfaces
BTAS  IEEE International Conference on Biometrics Theory Applications and Systems
ICDAR  International Conference on Document Analysis and Recognition
ICAPS  International Conference on Automated Planning and Scheduling
KR  Principles of Knowledge Representation and Reasoning
ICAC  IEEE International Conference on Autonomic Computing
SLT  IEEE Spoken Language Technology Workshop
CIDR  Conference on Innovative Data Systems Research
WMT  Workshop on Statistical Machine Translation
SMC  IEEE International Conference on Systems Man and Cybernetics
ECIR  European Conference on Information Retrieval
ICAISC  International Conference on Artificial Intelligence and Soft Computing
PAKDD  Pacific-Asia Conference on Knowledge Discovery and Data Mining
CIG  IEEE Conference on Computational Intelligence and Games
DAS  IAPR International Workshop on Document Analysis Systems
ITS  International Conference on Intelligent Tutoring Systems
AVSS  IEEE International Conference on Advanced Video and Signal-Based Surveillance
ACII  International Conference on Affective Computing and Intelligent Interaction
IVA  Intelligent Virtual Agents
CICLing  International Conference on Computational Linguistics and Intelligent Text Processing
ICMLA  International Conference on Machine Learning and Applications
ICTAI  International Conference on Tools with Artificial Intelligence
ICONIP  International Conference on Neural Information Processing
WI-IAT  IEEE WIC ACM International Joint Conferences on Web Intelligence and Intelligent Agent Technology
CPAIOR  International Conference on Integration of AI and OR Techniques in Constraint Programming
LION  Learning and Intelligent Optimization
WASSA  Workshop in Computational Approaches to Subjectivity and Sentiment Analysis
IDA  Intelligent Data Analysis
CPM  Combinatorial Pattern Matching
ISVC  International Symposium on Visual Computing
ESANN  European Symposium on Artificial Neural Networks
ICANN  International Conference on Artificial Neural Networks
SPIRE  International Symposium on String Processing and Information Retrieval
ICAART  International Conference on Agents and Artificial Intelligence
JELIA  European Conference on Logics in Artificial Intelligence
IJCNLP  International Joint Conference on Natural Language Processing
ICSI  International Conference on Advances in Swarm Intelligence
DaWaK  Data Warehousing and Knowledge Discovery
RANLP  Recent Advances in Natural Language Processing
IPMU  International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems
CIARP  Iberoamerican Congress on Pattern Recognition
ISI  IEEE International Conference on Intelligence and Security Informatics
HAIS  International Conference on Hybrid Artificial Intelligent Systems
