conference,topic,article

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",A Deep Learning-Based Recommendation System to Enable End User Access to Financial Linked Knowledge.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",On the Use of Random Discretization and Dimensionality Reduction in Ensembles for Big Data.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Hybrid Deep Learning Based on GAN for Classifying BSR Noises from Invehicle Sensors.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Inferring User Expertise from Social Tagging in Music Recommender Systems for Streaming Services.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Learning Logical Definitions of n-Ary Relations in Graph Databases.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",GAparsimony: An R Package for Searching Parsimonious Models by Combining Hyperparameter Optimization and Feature Selection.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Improving Adaptive Optics Reconstructions with a Deep Learning Approach.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Complexity of Rule Sets in Mining Incomplete Data Using Characteristic Sets and Generalized Maximal Consistent Blocks.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Optimization of the University Transportation by Contraction Hierarchies Method and Clustering Algorithms.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Identification of Patterns in Blogosphere Considering Social Positions of Users and Reciprocity of Relations.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",SmartFD: A Real Big Data Application for Electrical Fraud Detection.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Multi-class Imbalanced Data Oversampling for Vertebral Column Pathologies Classification.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",A Hybrid Genetic-Bootstrapping Approach to Link Resources in the Web of Data.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Modelling and Forecasting of the ^222Rn Radiation Level Time Series at the Canfranc Underground Laboratory.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.","Data Mining, Knowledge Discovery and Big Data",Sensor Fault Detection and Recovery Methodology for a Geothermal Heat Exchanger.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.",Bio-inspired Models and Evolutionary Computation,Distinctive Features of Asymmetric Neural Networks with Gabor Filters.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.",Bio-inspired Models and Evolutionary Computation,Tuning CNN Input Layout for IDS with Genetic Algorithms.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.",Bio-inspired Models and Evolutionary Computation,Improving the Accuracy of Prediction Applications by Efficient Tuning of Gradient Descent Using Genetic Algorithms.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.",Bio-inspired Models and Evolutionary Computation,Mono-modal Medical Image Registration with Coral Reef Optimization.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.",Bio-inspired Models and Evolutionary Computation,Evaluating Feature Selection Robustness on High-Dimensional Data.

"Hybrid Artificial Intelligent Systems - 13th International Conference, HAIS 2019, Oviedo, Spain, June 20-22, 2019, Proceedings.",Bio-inspired Models and Evolutionary Computation,Generalized Probability Distribution Mixture Model for Clustering.

