
"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Engineering Self-Adaptive Software Systems - An Organized Tour.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,A Design for Adaptation Framework for Self-Adaptive Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Reactive and Adaptive Security Monitoring in Cloud Computing.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,"Towards a Pragmatic Approach to Engineer Cognitive, Agent-Oriented, Distributed Applications."

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,A Legally Relevant Socio-Technical Language Development for Smart Contracts.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Towards Self-Adaptive Systems with Hierarchical Decentralised Control.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,A Self-Aware Contract for Decentralized Peer-to-Peer (P2P) Commerce.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Voronoi-Based Indoor Deployment of Mobile Sensors Network with Obstacles.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Towards a Taxonomy for the Evaluation of Self-* Software.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Efficient Classification of Application Characteristics by Using Hardware Performance Counters with Data Mining.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Effects of VM Placement Constraints in Heterogeneous Virtual Clusters.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Efficient Multi-GPU Memory Management for Deep Learning Acceleration.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Design of Skiplist Based Key-Value Store on Non-Volatile Memory.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,DymGPU: Dynamic Memory Management for Sharing GPUs in Virtualized Clouds.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Design and Implementation of Software-Based Dynamically Connected Transport.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,High Performance Parallel KMP Algorithm on a Heterogeneous Architecture.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,OMBM-ML: An Efficient Memory Bandwidth Management for Ensuring QoS and Improving Server Utilization.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Toward an Adaptive Fair GPU Sharing Scheme in Container-Based Clusters.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Identifying Changed or Sick Resources from Logs.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Visions and Challenges in Managing and Preserving Data to Measure Quality of Life.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,A Tool for Online Experiment-Driven Adaptation.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Collective Abstractions and Platforms for Large-Scale Self-Adaptive IoT.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,An Aggregate Computing Approach to Self-Stabilizing Leader Election.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,SA-Chord: A Self-Adaptive P2P Overlay Network.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Self-Reconfiguration of Shipboard Power Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Improved Reverse Mapping for Controlling Swarms by Visual Demonstration.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Relevant Expertise Aggregation for Policy Selection in Collective Adaptive Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Orbital Construction: Swarms of Simple Robots Building Enclosures.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,"Robots Building Bridges, Not Walls."

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Self-Improving System Integration - Status and Challenges after Five Years of SISSY.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Hierarchical Self-Awareness and Authority for Scalable Self-Integrating Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Security Issues in Self-Improving System Integration - Challenges and Solution Strategies.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,SATISFy: Towards a Self-Learning Analyzer for Time Series Forecasting in Self-Improving Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Coopetitive Soft Gating Ensemble.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Aspects of Measuring and Evaluating the Integration Status of a (Sub-)System at Runtime.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,A Concept for Proactive Knowledge Construction in Self-Learning Autonomous Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Adaptive Coordination to Complete Mission Goals.

